Listennummer,Partei,Stimmen,Stimmen-Prozent,Gemeinde-Nummer,Gemeinde-Name,Stimmberechtigte,Wahlzettel,Stimmbeteiligung
1,Die Mitte / Le Centre,3053,10.402044,301,Aarberg,3357,1124,0.3348227584152517
2,SVP,9302,31.693357,301,Aarberg,3357,1124,0.3348227584152517
3,UDC,45,0.15332197,301,Aarberg,3357,1124,0.3348227584152517
4,EVP / PEV,871,2.967632,301,Aarberg,3357,1124,0.3348227584152517
5,*jevp / *jpev,228,0.7768313,301,Aarberg,3357,1124,0.3348227584152517
6,EDU / UDF,623,2.1226575,301,Aarberg,3357,1124,0.3348227584152517
7,SP Frauen,2508,8.545145,301,Aarberg,3357,1124,0.3348227584152517
8,SP Männer,1295,4.412266,301,Aarberg,3357,1124,0.3348227584152517
9,PSR,34,0.115843266,301,Aarberg,3357,1124,0.3348227584152517
10,JUSO / JS,160,0.5451448,301,Aarberg,3357,1124,0.3348227584152517
11,GLPSeeland / PVLSeeland,1946,6.630324,301,Aarberg,3357,1124,0.3348227584152517
12,GLPBiel / PVLBienne,396,1.3492334,301,Aarberg,3357,1124,0.3348227584152517
13,JGLP / JVL,448,1.5264055,301,Aarberg,3357,1124,0.3348227584152517
14,FDP Biel+,520,1.7717206,301,Aarberg,3357,1124,0.3348227584152517
15,FDPSeeland,3756,12.797274,301,Aarberg,3357,1124,0.3348227584152517
16,PRR,115,0.39182281,301,Aarberg,3357,1124,0.3348227584152517
17,JGGL / JVVC,2973,10.129472,301,Aarberg,3357,1124,0.3348227584152517
18,JGGG / JVVS,448,1.5264055,301,Aarberg,3357,1124,0.3348227584152517
19,ABS,558,1.9011925,301,Aarberg,3357,1124,0.3348227584152517
20,DBS,0,0.0,301,Aarberg,3357,1124,0.3348227584152517
21,SD,19,0.06473595,301,Aarberg,3357,1124,0.3348227584152517
22,PdA / POP,52,0.17717206,301,Aarberg,3357,1124,0.3348227584152517
1,Die Mitte / Le Centre,676,9.809897,302,Bargen (BE),779,267,0.3427471116816431
2,SVP,3197,46.39385,302,Bargen (BE),779,267,0.3427471116816431
3,UDC,17,0.24669859,302,Bargen (BE),779,267,0.3427471116816431
4,EVP / PEV,284,4.121318,302,Bargen (BE),779,267,0.3427471116816431
5,*jevp / *jpev,9,0.13060513,302,Bargen (BE),779,267,0.3427471116816431
6,EDU / UDF,278,4.0342474,302,Bargen (BE),779,267,0.3427471116816431
7,SP Frauen,477,6.9220724,302,Bargen (BE),779,267,0.3427471116816431
8,SP Männer,258,3.744014,302,Bargen (BE),779,267,0.3427471116816431
9,PSR,5,0.07255841,302,Bargen (BE),779,267,0.3427471116816431
10,JUSO / JS,15,0.21767524,302,Bargen (BE),779,267,0.3427471116816431
11,GLPSeeland / PVLSeeland,180,2.6121027,302,Bargen (BE),779,267,0.3427471116816431
12,GLPBiel / PVLBienne,76,1.1028879,302,Bargen (BE),779,267,0.3427471116816431
