Gemeinde-Nummer,Gemeinde-Name,Stimmbeteiligung,Stimmen,Grüne-Stimmen,Grüne-Stimmen-Prozent
351,Bern,37.17,650726.0,165870.0,25.49
371,Biel/Bienne,24.64,203353.0,34521.0,16.98
355,Köniz,32.9,183396.0,32513.0,17.73
942,Thun,28.54,145342.0,24347.0,16.75
306,Lyss,28.74,81416.0,5383.0,6.61
356,Muri bei Bern,38.89,78600.0,11018.0,14.02
616,Münsingen,34.22,64278.0,10638.0,16.55
360,Wohlen bei Bern,39.44,60543.0,10726.0,17.72
363,Ostermundigen,27.09,59827.0,7885.0,13.18
939,Steffisburg,30.74,59100.0,6967.0,11.79
404,Burgdorf,32.59,56476.0,8316.0,14.72
627,Worb,30.66,54943.0,8391.0,15.27
861,Belp,32.33,52492.0,4546.0,8.66
361,Zollikofen,34.42,52487.0,8103.0,15.44
768,Spiez,32.77,50478.0,5339.0,10.58
546,Münchenbuchsee,32.33,48430.0,6108.0,12.61
362,Ittigen,29.89,46066.0,6110.0,13.26
352,Bolligen,43.52,45069.0,6717.0,14.9
329,Langenthal,29.49,35703.0,3509.0,9.83
359,Vechigen,37.22,35048.0,4111.0,11.73
563,Frutigen,41.61,34965.0,880.0,2.52
540,Jegenstorf,36.44,34276.0,4100.0,11.96
902,Langnau im Emmental,31.1,34208.0,2766.0,8.09
855,Schwarzenburg,30.82,33619.0,5384.0,16.01
743,Nidau,28.45,33273.0,4136.0,12.43
538,Fraubrunnen,33.95,29932.0,3764.0,12.58
353,Bremgarten bei Bern,42.2,29397.0,6187.0,21.05
301,Aarberg,33.48,29350.0,3421.0,11.66
612,Konolfingen,33.57,27153.0,1954.0,7.2
843,Saanen,40.96,26819.0,780.0,2.91
311,Schüpfen,34.37,26505.0,2254.0,8.5
938,Sigriswil,39.22,24557.0,1857.0,7.56
312,Seedorf (BE),37.02,24335.0,2477.0,10.18
944,Uetendorf,32.39,23155.0,2217.0,9.57
739,Ipsach,30.25,23023.0,2297.0,9.98
496,Ins,34.8,22599.0,2958.0,13.09
354,Kirchlindach,42.39,22587.0,3493.0,15.46
551,Urtenen-Schönbühl,24.65,22148.0,2669.0,12.05
608,Grosshöchstetten,33.37,21324.0,1577.0,7.4
745,Port,29.35,20784.0,1217.0,5.86
593,Unterseen,32.2,20528.0,1783.0,8.69
670,Neuenegg,23.71,20513.0,1654.0,8.06
303,Grossaffoltern,31.48,20469.0,1287.0,6.29
928,Heimberg,25.14,20095.0,1675.0,8.34
632,Wichtrach,30.57,20021.0,2048.0,10.23
929,Hilterfingen,39.29,19799.0,3047.0,15.39
412,Kirchberg (BE),31.72,19595.0,1025.0,5.23
751,Täuffelen,30.91,19490.0,1688.0,8.66
307,Meikirch,45.63,19385.0,2800.0,14.44
733,Brügg,26.03,19165.0,2090.0,10.91
383,Büren an der Aare,28.44,18906.0,1035.0,5.47
561,Adelboden,45.17,18667.0,466.0,2.5
387,Lengnau (BE),21.78,18515.0,1136.0,6.14
700,Moutier,33.87,18052.0,935.0,5.18
957,Sumiswald,29.38,18043.0,1203.0,6.67
870,Kehrsatz,32.81,17704.0,2803.0,15.83
619,Oberdiessbach,32.14,17598.0,1494.0,8.49
310,Rapperswil (BE),30.33,17302.0,1285.0,7.43
955,Lützelflüh,33.73,17145.0,1240.0,7.23
372,Evilard,35.13,17065.0,2534.0,14.85
358,Stettlen,33.62,17008.0,1872.0,11.01
785,Meiringen,34.1,16956.0,1996.0,11.77
581,Interlaken,30.56,16668.0,1441.0,8.65
979,Herzogenbuchsee,27.58,15950.0,1244.0,7.8
879,Riggisberg,32.97,15870.0,1151.0,7.25
668,Mühleberg,32.49,15617.0,1231.0,7.88
552,Utzenstorf,31.0,15573.0,1028.0,6.6
567,Reichenbach im Kandertal,34.74,15499.0,658.0,4.25
544,Moosseedorf,26.72,15484.0,1411.0,9.11
667,Laupen,29.59,15028.0,1999.0,13.3
446,Tramelan,32.6,12561.0,1669.0,13.29
889,Thurnen,40.61,12273.0,1997.0,16.27
337,Roggwil (BE),27.43,9512.0,1218.0,12.8
723,La Neuveville,29.0,9127.0,2577.0,28.23
443,Saint-Imier,24.77,8754.0,1154.0,13.18
386,Dotzigen,28.29,8427.0,1053.0,12.5
756,Twann-Tüscherz,31.25,7750.0,1097.0,14.15
663,Frauenkappelen,32.61,6871.0,1013.0,14.74
869,Kaufdorf,41.57,6633.0,951.0,14.34
431,Corgémont,37.26,5170.0,890.0,17.21
726,Plateau de Diesse,27.37,4592.0,1085.0,23.63
740,Ligerz,40.28,4490.0,616.0,13.72
863,Burgistein,31.22,4468.0,583.0,13.05
434,Courtelary,31.39,3496.0,752.0,21.51
543,Mattstetten,32.5,3432.0,429.0,12.5
921,Amsoldingen,31.6,3213.0,414.0,12.89
867,Gurzelen,29.46,3143.0,420.0,13.36
741,Merzligen,35.74,3112.0,416.0,13.37
438,Orvin,28.07,3008.0,519.0,17.25
491,Brüttelen,27.27,2981.0,550.0,18.45
610,Herbligen,32.47,2943.0,408.0,13.86
927,Heiligenschwendi,33.21,2884.0,434.0,15.05
736,Hagneck,32.62,2741.0,425.0,15.51
501,Tschugg,28.31,2525.0,490.0,19.41
445,Sonvilier,23.68,2317.0,342.0,14.76
448,Villeret,28.44,2146.0,494.0,23.02
724,Nods,26.22,1828.0,332.0,18.16
433,Cortébert,30.58,1792.0,390.0,21.76
441,Renan (BE),19.65,1713.0,253.0,14.77
868,Jaberg,35.66,1704.0,225.0,13.2
577,Gsteigwiler,32.31,1646.0,217.0,13.18
432,Cormoret,36.22,1575.0,343.0,21.78
536,Diemerswil,43.04,1464.0,350.0,23.91
589,Oberried am Brienzersee,23.56,1440.0,198.0,13.75
449,Sauge,17.26,1211.0,249.0,20.56
